,Conference,Publication Date,Publication Count
209,"ICARCV 2018 - 15th International Conference on Control, Automation, Robotics and Vision",2018,5
210,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing",2020,5
211,"ICASSP 2021 - IEEE International Conference on Acoustics, Speech and Signal Processing",2021,5
212,ICC 2023 - IEEE International Conference on Communications,2023,5
213,ICCS 2020 - 25th International Conference on Conceptual Structures,2020,5
214,ICDCS 2018 - 38th IEEE International Conference on Distributed Computing Systems,2018,5
215,ICIP 2022 - 29th IEEE International Conference on Image Processing,2022,5
216,ICPP 2019 - 48th International Conference on Parallel Processing,2019,5
217,ICPhS 2019 - International Congress of Phonetic Sciences,2019,5
218,ICRA 2019 - IEEE International Conference on Robotics and Automation,2019,5
219,ICRA 2020 - IEEE International Conference on Robotics and Automation,2020,5
220,IFAC WC 2020 - 21st IFAC World Congress,2020,5
221,IJCNN 2019 - International Joint Conference on Neural Networks,2019,5
222,ISBI 2019 - 16th IEEE International Symposium on Biomedical Imaging,2019,5
223,ISBI 2021 - 18th IEEE International Symposium on Biomedical Imaging,2021,5
224,ISIT 2022 - IEEE International Symposium on Information Theory,2022,5
225,ISSP 2020 - 12th International Seminar on Speech Production,2020,5
226,ITP 2021 - 12th International Conference on Interactive Theorem Proving,2021,5
227,International Workshop on Smalltalk Technologies,2019,3
228,International Workshop on Smalltalk Technologies,2023,2
229,Interspeech 2018 - 19th Annual Conference of the International Speech Communication Association,2018,5
230,Journées Françaises d'Informatique Graphique (JFIG2020),2020,5
231,MICCAI 2019 - 22nd International Conference on Medical Image Computing and Computer Assisted Intervention,2019,5
232,MICCAI 2022 - 25th International Conference on Medical Image Computing and Computer Assisted Intervention,2022,5
233,ML Family Workshop,2020,2
234,ML Family Workshop,2021,2
235,ML Family Workshop,2022,1
236,OHBM 2018 - 24th Annual Meeting of the Organization for Human Brain Mapping,2018,5
237,PEMWN 2020 - 9th IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,2020,5
238,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI 2018),2018,5
239,QBI 2020 - Quantitative BioImaging Conference,2020,5
240,RESSI 2022 - Rendez-Vous de la Recherche et de l'Enseignement de la Sécurité des Systèmes d'Information,2022,5
241,SECRYPT 2020 - 17th International Conference on Security and Cryptography,2020,5
242,SPIE Medical Imaging,2023,3
243,SPIE Medical Imaging,2018,1
244,SPIE Medical Imaging,2019,1
245,VALUETOOLS 2019 - 12th EAI International Conference on Performance Evaluation Methodologies and Tools,2019,5
246,WAVES 2019 - 14th International Conference on Mathematical and Numerical Aspects of Wave Propagation,2019,5
247,WAVES 2022 - 15th International Conference on Mathematical and Numerical Aspects of Wave Propagation,2022,5
248,WI-IAT 2021 - 20th IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,2021,4
249,WI-IAT 2021 - 20th IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,2022,1
250,14th IFAC Workshop on Time Delay Systems TDS 2018,2018,4
251,16th European Control Conference (ECC 2018),2018,4
252,"16th International Symposium on High Pressure Low Temperature Plasma Chemistry (HaKone XVI), Sept. 2-7, 2018, Beijing (CHINA)",2018,4
253,17th ERCOFTAC SIG15/MONACO2025 workshop: Turbulent natural convection flows in differentially heated cavities,2023,4
254,2018 AIAA Aerospace Sciences Meeting,2018,4
255,"2018 Fluid Dynamics Conference, AIAA AVIATION Forum",2018,4
256,2022 American Control Conference (ACC 2022),2022,4
257,"34ème Conférence sur la Gestion de Données – Principes, Technologies et Applications",2018,4
258,47th International Symposium on Mathematical Foundations of Computer Science (MFCS 2022),2022,4
259,8th Graz Brain-Computer Interface Conference 2019,2019,4
260,8th World Congress of Biomechanics,2018,4
261,AAAI 2022 - 36th AAAI Conference on Artificial Intelligence,2022,4
262,AAMAS 2018 - 17th International Conference on Autonomous Agents and MultiAgent Systems,2018,4
263,ACL 2020 - 58th Annual Meeting of the Association for Computational Linguistics,2020,4
264,ACL 2022 - 60th Annual Meeting of the Association for Computational Linguistics,2022,4
265,ACL 2023 - 61st Annual Meeting of the Association for Computational Linguistics,2023,4
266,AISTATS 2019 - 22nd International Conference on Artificial Intelligence and Statistics,2019,4
267,AdHoc-Now 2018 - 17th International Conference on Ad Hoc Networks and Wireless,2018,4
268,AlgoTel 2023 - 25èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2023,4
269,"Annual Meeting of Safety Pharmacology Society, SPS 2018",2018,4
270,Annual meeting of the Organization for Human Brain Mapping - OHBM 2018,2018,4
271,"BDA 2020 - 36ème Conférence sur la Gestion de Données – Principes, Technologies et Applications",2020,4
272,"BDA 2021 - 37e Conférence sur la Gestion de Données - Principes, Technologies et Applications",2021,4
273,BMVC 2021 - 32nd British Machine Vision Conference,2021,4
274,CADE-27 - The 27th International Conference on Automated Deduction,2019,4
275,CCNC 2019 - 16th IEEE Consumer Communications & Networking Conference,2019,4
276,CFA 2018 - 14ème Congrès Français d'Acoustique,2018,4
277,CHI 2020 - ACM Conference on Human Factors in Computing Systems,2020,4
278,CHI 2022 - ACM Conference on Human Factors in Computing Systems,2022,4
279,CHI 2022 - Conference on Human Factors in Computing Systems,2022,4
280,CIKM 2022 - 31st ACM International Conference on Information and Knowledge Management,2022,4
281,CLA 2018 - The 14th International Conference on Concept Lattices and Their Applications,2018,4
282,CLEF 2018 - Conference and Labs of the Evaluation Forum,2018,4
283,CLEF 2019 - Conference and Labs of the Evaluation Forum,2019,4
284,CLEF 2020 - Conference and Labs of the Evaluation Forum,2020,4
285,CMSB 2022 - International Conference on Computational Methods in Systems Biology,2022,4
286,CNSM 2021 - 17th International Conference on Network and Service Management,2021,4
287,COLT 2021 - 34th Annual Conference on Learning Theory,2021,4
288,COLT 2022 - 35th Annual Conference on Learning Theory,2022,4
289,COMMA 2018 - 7th International Conference on Computational Models of Argument,2018,4
290,COMMA 2020 - 8th International Conference on Computational Models of Argument,2020,4
291,"COMPAS 2023 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2023,4
292,CONCUR 2019 - 30th International Conference on Concurrency Theory,2019,4
293,"CORES 2018 - Rencontres Francophones sur la Conception de Protocoles, l’Évaluation de Performance et l’Expérimentation des Réseaux de Communication",2018,4
294,CPM 2020 - 31st Annual Symposium on Combinatorial Pattern Matching,2020,4
295,CPM 2021 - 32nd Annual Symposium on Combinatorial Pattern Matching,2021,4
296,CPP 2020 - 9th ACM SIGPLAN International Conference on Certified Programs and Proofs,2020,4
297,CSE19 - SIAM Conference on Computational Science and Engineering,2019,4
298,CSF 2019 - 32nd IEEE Computer Security Foundations Symposium,2019,4
299,CSF 2022 - 35th IEEE Computer Security Foundations Symposium,2022,3
300,CSF 2022 - 35th IEEE Computer Security Foundations Symposium,2021,1
301,CSF 2023 - 36th IEEE Computer Security Foundations Symposium,2023,4
302,CSF'2018 - 31st IEEE Computer Security Foundations Symposium,2018,4
303,CSL 2023 - 31st EACSL Annual Conference on Computer Science Logic,2023,4
304,CVPR 2019 - IEEE Conference on Computer Vision and Pattern Recognition,2019,4
305,CVPR 2021 - IEEE Conference on Computer Vision and Pattern Recognition,2021,4
306,CinC 2019 - Computing in Cardiology 2019,2019,4
307,CinC 2020 - Computing in Cardiology,2020,4
308,CloudCom 2018 - 10th IEEE International Conference on Cloud Computing Technology and Science,2018,4
309,Conference on Neural Information Processing Systems,2019,4
310,Conférence sur le Traitement Automatique des Langues Naturelles (TALN),2022,4
311,EACL 2021 - 16th Conference of the European Chapter of the Association for Computational Linguistics,2021,4
312,ECC 2020 - 18th European Control Conference,2020,4
313,ECC 2022 - European Control Conference,2022,4
314,ECCOMAS 2022 - 8th European Congress on Computational Methods in Applied Sciences and Engineering,2022,4
315,ECML PKDD 2019 - European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2019,3
316,ECML PKDD 2019 - European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2020,1
317,EGU General Assembly 2021,2021,4
318,EMBC 2018 - 40th International Conference of the IEEE Engineering in Medicine and Biology Society,2018,4
319,EMNLP 2023 - Conference on Empirical Methods in Natural Language Processing,2023,4
320,ESA 2021 - 29th Annual European Symposium on Algorithms,2021,4
321,EUSIPCO 2022 - 30th European Signal Processing Conference,2022,4
322,EVA 2021 - 12th International Conference on Extreme Value Analysis,2021,4
323,"EVA 2023 - 13th International Conference on Extreme Value Analysis, Probabilistic and Statistical Models and their Applications",2023,4
324,FG 2019 - 14th IEEE International Conference on Automatic Face and Gesture Recognition,2019,4
325,FIMH 2019 - 10th International Conference on Functional Imaging and Modeling of the Heart,2019,4
326,FSCD 2019 - 4th International Conference on Formal Structures for Computation and Deduction,2019,4
327,FSCD 2020 - 5th International Conference on Formal Structures for Computation and Deduction,2020,4
328,FroCos 2021 - 13th International Symposium on Frontiers of Combining Systems,2021,4
329,GECCO '23 Companion: Companion Conference on Genetic and Evolutionary Computation,2023,3
330,GECCO '23 Companion: Companion Conference on Genetic and Evolutionary Computation,2022,1
331,GECCO 2018 - Genetic and Evolutionary Computation Conference,2018,4
332,GECCO 2019 Companion - The Genetic and Evolutionary Computation Conference,2019,4
