,Conference,Publication Date,Publication Count
349,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
350,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
351,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
352,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
353,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
354,NeurIPS 2021 - 35th Conference on Neural Information Processing Systems,2021,1
355,OHBM 2019 - 25th Annual Meeting of the Organization for Human Brain Mapping,2019,7
356,OHBM 2019 - 25th Annual Meeting of the Organization for Human Brain Mapping,2019,2
357,OHBM 2019 - 25th Annual Meeting of the Organization for Human Brain Mapping,2019,1
358,OHBM 2019 - 25th Annual Meeting of the Organization for Human Brain Mapping,2019,1
359,SoCG 2020 - 36th International Symposium on Computational Geometry,2020,7
360,SoCG 2020 - 36th International Symposium on Computational Geometry,2020,2
361,SoCG 2020 - 36th International Symposium on Computational Geometry,2020,1
362,SoCG 2020 - 36th International Symposium on Computational Geometry,2020,1
363,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,4
364,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,2
365,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,1
366,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,1
367,AlgoTel 2022 - 24èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2022,1
368,CDC 2021 - 60th IEEE Conference on Decision and Control,2021,6
