,Conference,Publication Date,Team Acronym,Publication Count
190,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,DYOGENE,1
191,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,MOKAPLAN,1
192,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,NEO,1
193,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,EPIONE,1
194,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,CELESTE,1
195,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,Scool,1
196,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,MIND,1
197,"16ème Congrès Français d'Acoustique, CFA2022",2022,MAKUTU,6
198,"16ème Congrès Français d'Acoustique, CFA2022",2022,MULTISPEECH,3
199,"16ème Congrès Français d'Acoustique, CFA2022",2022,POEMS,1
200,"16ème Congrès Français d'Acoustique, CFA2022",2022,TONUS,1
201,"16ème Congrès Français d'Acoustique, CFA2022",2022,MONC,1
202,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,ALMAnaCH,7
203,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,SEMAGRAMME,3
204,18e Conférence en Recherche d'Information et Applications -- 16e Rencontres Jeunes Chercheurs en RI -- 30e Conférence sur le Traitement Automatique des Langues Naturelles -- 25e Rencontre des Étudiants Chercheurs en Informatique pour le Traitement Automatique des Langues,2023,HeKA,1
205,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,COATI,6
206,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,DELYS,2
207,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,ABS,1
208,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,DIONYSOS,1
209,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,WIDE,1
210,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,TRiBE,1
211,ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,2020,GANG,1
212,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,DELYS,4
213,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,HiePACS,2
214,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,CAMUS,2
215,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,TADAAM,2
216,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,DATAMOVE,2
217,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,CTRL-A,2
218,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,TONUS,1
219,"COMPAS 2022 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2022,STORM,1
220,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,MULTISPEECH,6
221,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,OPIS,3
222,EUSIPCO 2021 - 29th European Signal Processing Conference,2021,PANAMA,2
223,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,PANAMA,4
224,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,MULTISPEECH,2
225,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,PERCEPTION,2
226,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,SEQUEL,1
227,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,Sirocco,1
228,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,GALEN-POST,1
229,"ICASSP 2018 - IEEE International Conference on Acoustics, Speech and Signal Processing",2018,DANTE,1
230,IFAC 2020 - 21rst IFAC World Congress,2020,VALSE,9
231,IFAC 2020 - 21rst IFAC World Congress,2020,BIOCORE,2
232,IFAC 2020 - 21rst IFAC World Congress,2020,McTAO,1
233,IFAC 2020 - 21rst IFAC World Congress,2020,DEFROST,1
234,IFAC 2020 - 21rst IFAC World Congress,2020,PIXEL,1
235,INTERSPEECH 2020,2020,MULTISPEECH,11
236,INTERSPEECH 2020,2020,MAGNET,3
237,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,RAINBOW,7
238,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,Flowers,1
239,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,ACENTAURI,1
240,IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,2023,CHROMA,1
241,International Conference on Artificial Intelligence and Statistics,2020,Scool,3
242,International Conference on Artificial Intelligence and Statistics,2020,SEQUEL,1
243,International Conference on Artificial Intelligence and Statistics,2020,DATASHAPE,1
244,International Conference on Artificial Intelligence and Statistics,2019,SEQUEL,2
245,International Conference on Artificial Intelligence and Statistics,2019,MAGNET,1
246,International Conference on Artificial Intelligence and Statistics,2021,Scool,2
247,International Conference on Artificial Intelligence and Statistics,2022,SIERRA,1
248,International Conference on Artificial Intelligence and Statistics,2022,Thoth,1
249,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,SIERRA,3
250,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,WILLOW,3
251,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,HiePACS,1
252,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,Parkas,1
253,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,VALDA,1
254,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,ARAMIS,1
255,NeurIPS 2021 - Thirty-fifth Conference on Neural Information Processing Systems,2021,Scool,1
256,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,WILLOW,2
257,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,POLARIS,2
258,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,MIND,2
259,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,FAIRPLAY,2
260,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,PARIETAL,1
261,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,MAGNET,1
262,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,DYOGENE,1
263,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,SIERRA,1
264,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,CoML,1
265,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,MAASAI,1
266,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,Thoth,1
267,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,DANTE,1
268,NeurIPS 2022 - 36th Conference on Neural Information Processing Systems,2022,GEOMERIX,1
269,57th IEEE Conference on Decision and Control (CDC 2018),2018,DISCO,4
270,57th IEEE Conference on Decision and Control (CDC 2018),2018,NON-A-POST,2
271,57th IEEE Conference on Decision and Control (CDC 2018),2018,MEXICO,1
272,57th IEEE Conference on Decision and Control (CDC 2018),2018,NON-A,1
273,57th IEEE Conference on Decision and Control (CDC 2018),2018,DYOGENE,1
274,57th IEEE Conference on Decision and Control (CDC 2018),2018,CaGE,1
275,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,SIERRA,3
276,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,PARIETAL,1
277,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,BIGS,1
278,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,SEQUEL,1
279,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,MAGNET,1
280,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,DATASHAPE,1
281,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,NEO,1
282,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,MAASAI,1
283,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,Scool,1
284,AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,2020,Thoth,1
285,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,VALSE,5
286,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,DANCE,2
287,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,ACUMES,1
288,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,SPIRALS,1
289,CDC 2023 - 62nd IEEE Conference on Decision and Control,2023,POLARIS,1
290,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,PACAP,3
291,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,CAMUS,2
292,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,LS2N - équipe STACK,2
293,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,HiePACS,1
294,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,TONUS,1
295,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,STORM,1
296,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,RESIST,1
297,"COMPAS 2019 - Conférence d'informatique en Parallélisme, Architecture et Système",2019,DELYS,1
298,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,Sirocco,2
299,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,PANAMA,2
300,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,MORPHEME,1
301,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,SEQUEL,1
302,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,SUMO,1
303,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,MARACAS,1
304,GRETSI 2019 - XXVIIème Colloque francophone de traitement du signal et des images,2019,MISTIS,1
305,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,OPIS,4
306,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,ROBOTLEARN,2
307,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,LinkMedia,2
308,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,Potioc,1
309,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,WIDE,1
310,"ICASSP 2023 - IEEE International Conference on Acoustics, Speech and Signal Processing",2023,Sirocco,1
311,ICIP 2019 - IEEE International Conference on Image Processing,2019,Sirocco,4
312,ICIP 2019 - IEEE International Conference on Image Processing,2019,AYIN,2
313,ICIP 2019 - IEEE International Conference on Image Processing,2019,SERPICO,1
314,ICIP 2019 - IEEE International Conference on Image Processing,2019,MIMETIC,1
